Number,Corpus ,Noun
1,BAWE,Republic
2,BAWE,economy
3,BAWE,stage
4,BAWE,merchant
5,BAWE,capitalism
6,BAWE,light
7,BAWE,answer
8,BAWE,importance
9,BAWE,Revolution
10,BAWE,Republic
11,BAWE,
12,BAWE,inventions
13,BAWE,fossil
14,BAWE,fuels
15,BAWE,progress
16,BAWE,development
17,BAWE,factory
18,BAWE,industry
19,BAWE,growth
20,BAWE,economy
21,BAWE,specialisation
22,BAWE,progress
23,BAWE,changes
24,BAWE,economy
25,BAWE,agriculture
26,BAWE,sector
27,BAWE,sector
28,BAWE,change
29,BAWE,firms
30,BAWE,degree
31,BAWE,urbanisation
32,BAWE,toleration
33,BAWE,state
34,BAWE,role
35,BAWE,property
36,BAWE,rights
37,BAWE,merchants
38,BAWE,entrepreneurs
39,BAWE,importance
40,BAWE,trade
41,BAWE,economy
42,BAWE,economy
43,BAWE,community
44,BAWE,standards
45,BAWE,countries
46,BAWE,gap
47,BAWE,stage
48,BAWE,merchant
49,BAWE,capitalism
50,BAWE,features
51,BAWE,industry
52,BAWE,machinery
53,BAWE,fossil
54,BAWE,fuels
55,BAWE,materials
56,BAWE,emergence
57,BAWE,enterprise
58,BAWE,inventions
59,BAWE,returns
60,BAWE,Republic
61,BAWE,steam
62,BAWE,engine
63,BAWE,power
64,BAWE,source
65,BAWE,sectors
66,BAWE,mining
67,BAWE,cotton
68,BAWE,iron
69,BAWE,railways
70,BAWE,percentage
71,BAWE,employment
72,BAWE,agriculture
73,BAWE,figure
74,BAWE,0.37
75,BAWE,economy
76,BAWE,agriculture
77,BAWE,use
78,BAWE,enclosure
79,BAWE,methods
80,BAWE,techniques
81,BAWE,breeding
82,BAWE,state
83,BAWE,role
84,BAWE,frameworks
85,BAWE,property
86,BAWE,rights
87,BAWE,developments
88,BAWE,Revolution
89,BAWE,settlement
90,BAWE,government
91,BAWE,property
92,BAWE,rights
93,BAWE,patents
94,BAWE,growth
95,BAWE,innovation
96,BAWE,progress
97,BAWE,Revolution
98,BAWE,development
99,BAWE,finance
100,BAWE,system
101,BAWE,changes
102,BAWE,supremacy
103,BAWE,parliament
104,BAWE,degree
105,BAWE,power
106,BAWE,issues
107,BAWE,finances
108,BAWE,rights
109,BAWE,King
110,BAWE,dethronement
111,BAWE,warning
112,BAWE,Kings
113,BAWE,parliament
114,BAWE,power
115,BAWE,autocrat
116,BAWE,parliament
117,BAWE,roles
118,BAWE,developments
119,BAWE,th
120,BAWE,century
121,BAWE,building
122,BAWE,canals
123,BAWE,railways
124,BAWE,invention
125,BAWE,turnpike
126,BAWE,trust
127,BAWE,road
128,BAWE,building
129,BAWE,frameworks
130,BAWE,centres
131,BAWE,position
132,BAWE,centre
133,BAWE,people
