Noun;Count;Relative_Frequency;Corpus
diabetes;157;0.84%;ICE-HK
system;145;0.77%;ICE-HK
patients;126;0.67%;ICE-HK
government;109;0.58%;ICE-HK
people;104;0.56%;ICE-HK
power;86;0.46%;ICE-HK
health;81;0.43%;ICE-HK
network;81;0.43%;ICE-HK
mellitus;79;0.42%;ICE-HK
care;76;0.41%;ICE-HK
walls;71;0.38%;ICE-HK
development;66;0.35%;ICE-HK
Hospital;65;0.35%;ICE-HK
inverters;65;0.35%;ICE-HK
time;62;0.33%;ICE-HK
disease;60;0.32%;ICE-HK
water;60;0.32%;ICE-HK
level;59;0.32%;ICE-HK
study;59;0.32%;ICE-HK
Lanterns;57;0.30%;ICE-HK
service;57;0.30%;ICE-HK
complications;56;0.30%;ICE-HK
type;56;0.30%;ICE-HK
control;55;0.29%;ICE-HK
access;54;0.29%;ICE-HK
data;54;0.29%;ICE-HK
treatment;54;0.29%;ICE-HK
voltage;54;0.29%;ICE-HK
RapidGlass;53;0.28%;ICE-HK
years;53;0.28%;ICE-HK
life;52;0.28%;ICE-HK
cases;50;0.27%;ICE-HK
Festival;50;0.27%;ICE-HK
case;49;0.26%;ICE-HK
Education;46;0.25%;ICE-HK
family;46;0.25%;ICE-HK
number;46;0.25%;ICE-HK
history;45;0.24%;ICE-HK
population;45;0.24%;ICE-HK
process;45;0.24%;ICE-HK
design;44;0.24%;ICE-HK
problems;44;0.24%;ICE-HK
services;44;0.24%;ICE-HK
wall;44;0.24%;ICE-HK
world;44;0.24%;ICE-HK
activities;43;0.23%;ICE-HK
dance;42;0.22%;ICE-HK
EVs;42;0.22%;ICE-HK
studies;42;0.22%;ICE-HK
work;41;0.22%;ICE-HK
Department;40;0.21%;ICE-HK
language;40;0.21%;ICE-HK
Table;40;0.21%;ICE-HK
errors;38;0.20%;ICE-HK
management;38;0.20%;ICE-HK
pipes;38;0.20%;ICE-HK
planning;38;0.20%;ICE-HK
recognition;37;0.20%;ICE-HK
use;37;0.20%;ICE-HK
authority;36;0.19%;ICE-HK
construction;36;0.19%;ICE-HK
city;35;0.19%;ICE-HK
form;35;0.19%;ICE-HK
area;34;0.18%;ICE-HK
English;34;0.18%;ICE-HK
patient;33;0.18%;ICE-HK
changes;32;0.17%;ICE-HK
countries;32;0.17%;ICE-HK
Mid-Autumn;32;0.17%;ICE-HK
sector;32;0.17%;ICE-HK
theatre;32;0.17%;ICE-HK
levels;31;0.17%;ICE-HK
systems;31;0.17%;ICE-HK
way;31;0.17%;ICE-HK
children;30;0.16%;ICE-HK
conditions;30;0.16%;ICE-HK
information;30;0.16%;ICE-HK
prevalence;30;0.16%;ICE-HK
quality;30;0.16%;ICE-HK
rate;30;0.16%;ICE-HK
risk;30;0.16%;ICE-HK
society;30;0.16%;ICE-HK
structure;30;0.16%;ICE-HK
resources;29;0.15%;ICE-HK
species;29;0.15%;ICE-HK
voice;29;0.15%;ICE-HK
applications;28;0.15%;ICE-HK
approach;28;0.15%;ICE-HK
article;28;0.15%;ICE-HK
factors;28;0.15%;ICE-HK
research;28;0.15%;ICE-HK
results;28;0.15%;ICE-HK
emergency;27;0.14%;ICE-HK
GAMMA;27;0.14%;ICE-HK
INVERTER;27;0.14%;ICE-HK
nature;27;0.14%;ICE-HK
problem;27;0.14%;ICE-HK
supply;27;0.14%;ICE-HK
thallium;27;0.14%;ICE-HK
blood;26;0.14%;ICE-HK
circuit;26;0.14%;ICE-HK
computer;26;0.14%;ICE-HK
cost;26;0.14%;ICE-HK
insurance;26;0.14%;ICE-HK
KNIFE;26;0.14%;ICE-HK
mortality;26;0.14%;ICE-HK
server;26;0.14%;ICE-HK
side;26;0.14%;ICE-HK
areas;25;0.13%;ICE-HK
culture;25;0.13%;ICE-HK
environment;25;0.13%;ICE-HK
infection;25;0.13%;ICE-HK
Moon;25;0.13%;ICE-HK
period;25;0.13%;ICE-HK
place;25;0.13%;ICE-HK
policy;25;0.13%;ICE-HK
Production;25;0.13%;ICE-HK
range;25;0.13%;ICE-HK
strategy;25;0.13%;ICE-HK
technology;25;0.13%;ICE-HK
trees;25;0.13%;ICE-HK
client;24;0.13%;ICE-HK
clients;24;0.13%;ICE-HK
community;24;0.13%;ICE-HK
days;24;0.13%;ICE-HK
Drama;24;0.13%;ICE-HK
glucose;24;0.13%;ICE-HK
industries;24;0.13%;ICE-HK
police;24;0.13%;ICE-HK
space;24;0.13%;ICE-HK
switches;24;0.13%;ICE-HK
translation;24;0.13%;ICE-HK
year;24;0.13%;ICE-HK
growth;23;0.12%;ICE-HK
lantern;23;0.12%;ICE-HK
link;23;0.12%;ICE-HK
processor;23;0.12%;ICE-HK
report;23;0.12%;ICE-HK
Reservoir;23;0.12%;ICE-HK
role;23;0.12%;ICE-HK
works;23;0.12%;ICE-HK
consumer;22;0.12%;ICE-HK
group;22;0.12%;ICE-HK
hand;22;0.12%;ICE-HK
members;22;0.12%;ICE-HK
position;22;0.12%;ICE-HK
practice;22;0.12%;ICE-HK
stage;22;0.12%;ICE-HK
fact;21;0.11%;ICE-HK
manufacturing;21;0.11%;ICE-HK
operation;21;0.11%;ICE-HK
performance;21;0.11%;ICE-HK
point;21;0.11%;ICE-HK
poisoning;21;0.11%;ICE-HK
public;21;0.11%;ICE-HK
question;21;0.11%;ICE-HK
schools;21;0.11%;ICE-HK
body;20;0.11%;ICE-HK
communications;20;0.11%;ICE-HK
fire;20;0.11%;ICE-HK
majority;20;0.11%;ICE-HK
output;20;0.11%;ICE-HK
Road;20;0.11%;ICE-HK
segments;20;0.11%;ICE-HK
value;20;0.11%;ICE-HK
Building;19;0.10%;ICE-HK
condition;19;0.10%;ICE-HK
costs;19;0.10%;ICE-HK
factor;19;0.10%;ICE-HK
function;19;0.10%;ICE-HK
groups;19;0.10%;ICE-HK
interest;19;0.10%;ICE-HK
learners;19;0.10%;ICE-HK
Literature;19;0.10%;ICE-HK
obesity;19;0.10%;ICE-HK
pressure;19;0.10%;ICE-HK
progression;19;0.10%;ICE-HK
project;19;0.10%;ICE-HK
Retinopathy;19;0.10%;ICE-HK
station;19;0.10%;ICE-HK
transfer;19;0.10%;ICE-HK
change;18;0.10%;ICE-HK
Council;18;0.10%;ICE-HK
diagnosis;18;0.10%;ICE-HK
files;18;0.10%;ICE-HK
hospitals;18;0.10%;ICE-HK
hour;18;0.10%;ICE-HK
incidence;18;0.10%;ICE-HK
industry;18;0.10%;ICE-HK
Internet;18;0.10%;ICE-HK
market;18;0.10%;ICE-HK
method;18;0.10%;ICE-HK
paper;18;0.10%;ICE-HK
part;18;0.10%;ICE-HK
sense;18;0.10%;ICE-HK
students;18;0.10%;ICE-HK
concept;17;0.09%;ICE-HK
dc;17;0.09%;ICE-HK
expenditure;17;0.09%;ICE-HK
features;17;0.09%;ICE-HK
field;17;0.09%;ICE-HK
Figure;17;0.09%;ICE-HK
findings;17;0.09%;ICE-HK
floor;17;0.09%;ICE-HK
forms;17;0.09%;ICE-HK
future;17;0.09%;ICE-HK
impact;17;0.09%;ICE-HK
insulin;17;0.09%;ICE-HK
Introduction;17;0.09%;ICE-HK
kind;17;0.09%;ICE-HK
materials;17;0.09%;ICE-HK
medium;17;0.09%;ICE-HK
methods;17;0.09%;ICE-HK
need;17;0.09%;ICE-HK
nephropathy;17;0.09%;ICE-HK
neuropathy;17;0.09%;ICE-HK
Processors;17;0.09%;ICE-HK
RADIOSURGERY;17;0.09%;ICE-HK
speech;17;0.09%;ICE-HK
text;17;0.09%;ICE-HK
types;17;0.09%;ICE-HK
-;16;0.09%;ICE-HK
administration;16;0.09%;ICE-HK
ESL;16;0.09%;ICE-HK
influence;16;0.09%;ICE-HK
input;16;0.09%;ICE-HK
LCD;16;0.09%;ICE-HK
m;16;0.09%;ICE-HK
meningitis;16;0.09%;ICE-HK
onset;16;0.09%;ICE-HK
Representation;16;0.09%;ICE-HK
times;16;0.09%;ICE-HK
capacitor;15;0.08%;ICE-HK
claims;15;0.08%;ICE-HK
companies;15;0.08%;ICE-HK
decontamination;15;0.08%;ICE-HK
dimension;15;0.08%;ICE-HK
Dispatcher;15;0.08%;ICE-HK
end;15;0.08%;ICE-HK
examination;15;0.08%;ICE-HK
hours;15;0.08%;ICE-HK
issues;15;0.08%;ICE-HK
land;15;0.08%;ICE-HK
load;15;0.08%;ICE-HK
material;15;0.08%;ICE-HK
means;15;0.08%;ICE-HK
million;15;0.08%;ICE-HK
mind;15;0.08%;ICE-HK
movement;15;0.08%;ICE-HK
radio;15;0.08%;ICE-HK
site;15;0.08%;ICE-HK
State;15;0.08%;ICE-HK
stone;15;0.08%;ICE-HK
tree;15;0.08%;ICE-HK
words;15;0.08%;ICE-HK
application;14;0.07%;ICE-HK
Concepts;14;0.07%;ICE-HK
damage;14;0.07%;ICE-HK
DANCING;14;0.07%;ICE-HK
day;14;0.07%;ICE-HK
decades;14;0.07%;ICE-HK
device;14;0.07%;ICE-HK
evidence;14;0.07%;ICE-HK
facilities;14;0.07%;ICE-HK
Force;14;0.07%;ICE-HK
